Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Guinness Draught - Pint,24,$422.85,$38.41,$113.23,5%,6%,73%
Stow Schnitty,22,$475.05,$43.18,$117.17,4%,7%,75%
Fancy Pants Parmy - Classic,21,$515.78,$46.82,$170.22,4%,7%,67%
Fresh is Best Lager - Schooner,17,$143.75,$13.02,$31.10,3%,2%,78%
Kuku Sauvignon Blanc - Regular,13,$182.00,$16.52,$37.89,3%,3%,79%
Mulled Wine,11,$165.98,$15.06,$22.73,2%,2%,86%
Version Two Pinot Grigio - Regular,10,$105.39,$9.59,$17.67,2%,1%,83%
Side Tomato Sauce,9,$0.00,$0.00,$0.00,2%,0%,0%
Garlic Bread,8,$24.50,$2.22,$11.36,2%,0%,54%
Baileys Irish Cream,8,$88.00,$8.00,$13.19,2%,1%,85%
Grifter Pale - Pint,8,$96.00,$8.72,$26.64,2%,1%,72%
Side Aioli,7,$3.64,$0.42,$0.00,1%,0%,0%
Geppetto Pinot Noir - Regular,7,$106.47,$9.64,$24.58,1%,1%,77%
No Salad,7,$0.00,$0.00,$0.00,1%,0%,0%
Classic Margarita,7,$104.46,$9.48,$28.94,1%,1%,72%
Side Gravy,6,$7.75,$0.75,$2.02,1%,0%,74%
Villa Fresco Sangiovese - Regular,6,$67.60,$6.14,$14.47,1%,1%,79%
Bombay Dry [House],6,$66.00,$6.00,$12.91,1%,1%,80%
Brownie D,6,$13.00,$1.18,$11.68,1%,0%,10%
Regular Little Italy [Dine-in],6,$161.11,$14.61,$28.83,1%,2%,82%
Fish Tacos,5,$102.61,$9.32,$10.92,1%,1%,89%
Crankshaft IPA - Pint,5,$87.50,$7.95,$19.56,1%,1%,78%
Kirin - Pint,5,$92.50,$8.40,$25.19,1%,1%,73%
Stone & Wood - Pint,5,$83.86,$7.65,$21.77,1%,1%,74%
Status Quo - Pint,5,$88.66,$8.06,$20.82,1%,1%,77%
Espresso Martini,5,$70.00,$6.35,$16.18,1%,1%,77%
Philter XPA - Schooner,5,$41.70,$3.82,$11.18,1%,1%,73%
Grifter Pale - Schooner,5,$57.50,$5.25,$12.41,1%,1%,78%
Swap Fries for Sweet Potato Fries,5,$10.35,$0.95,$0.00,1%,0%,0%
Fresh is Best Lager - Pint,4,$47.50,$4.33,$9.81,1%,1%,79%
Rosemary Salted Fries,4,$39.54,$3.58,$7.42,1%,1%,81%
"Lemon, Lime & Bitters",4,$20.50,$1.85,$0.00,1%,0%,0%
Philter Red - Pint,4,$60.49,$5.48,$13.60,1%,1%,78%
