Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Mulled Wine,9,$126.00,$11.43,$18.60,4%,4%,85%
Version Two Sparkling - Regular,8,$71.00,$6.47,$14.13,3%,2%,80%
Fresh is Best Lager - Schooner,7,$59.85,$5.39,$12.80,3%,2%,79%
Villa Fresco Sangiovese - Regular,7,$75.60,$6.86,$16.88,3%,3%,78%
Version Two Pinot Grigio - Regular,6.4,$49.00,$4.46,$11.31,3%,2%,77%
Grifter Pale - Pint,6,$91.47,$8.28,$19.98,3%,3%,78%
Kuku Sauvignon Blanc - Regular,5,$70.00,$6.35,$14.57,2%,2%,79%
Regular Sanchez [Dine-in],5,$91.18,$8.31,$16.96,2%,3%,81%
Fresh is Best Lager - Pint,5,$53.00,$4.83,$12.26,2%,2%,77%
Rosemary Salted Fries,5,$61.05,$5.53,$9.28,2%,2%,85%
Grifter Pale - Schooner,5,$39.50,$3.61,$12.41,2%,1%,69%
Philter XPA - Schooner,5,$48.40,$4.42,$11.18,2%,2%,77%
Regular Truffalo Soldier [Dine-in],5,$88.20,$8.04,$16.34,2%,3%,81%
Ottelia Chardonnay - Regular,4,$60.80,$5.51,$13.83,2%,2%,77%
Regular Little Italy [Dine-in],4,$73.19,$6.67,$19.22,2%,3%,74%
Buffalo Wings,4,$60.66,$5.51,$15.61,2%,2%,74%
Garlic Bread,4,$23.00,$2.08,$5.68,2%,1%,75%
Classic Margarita,4,$74.00,$6.73,$16.10,2%,3%,78%
Fresh is Best Summer Lager - Pint,4,$45.40,$4.13,$8.52,2%,2%,81%
Jalapeño Marg,4,$94.26,$8.57,$3.04,2%,3%,97%
Trentham Estate Rosé - Regular,3,$37.20,$3.39,$6.33,1%,1%,83%
Geppetto Pinot Noir - Regular,3,$45.49,$4.12,$10.54,1%,2%,77%
Side Aioli,3,$1.42,$0.15,$0.00,1%,0%,0%
Regular Jimmy Jury [Dine-in],3,$47.39,$4.31,$10.01,1%,2%,79%
Fresh is Best Summer Lager - Schooner,3,$26.34,$2.39,$4.76,1%,1%,82%
Online Surcharge,3,$2.84,$0.00,$0.00,1%,0%,0%
Less Cheese,3,$0.00,$0.00,$0.00,1%,0%,0%
White Light Pure Vodka [House],3,$29.70,$2.70,$4.56,1%,1%,85%
Stow Vermouth Blend [30ml],3,$36.00,$3.27,$3.76,1%,1%,90%
Fresh Lime Soda,3,$10.84,$0.99,$0.00,1%,0%,0%
Oceanside,2,$30.98,$2.80,$7.17,1%,1%,77%
Regular Uber Margherita [Dine-in],2,$36.60,$3.33,$6.39,1%,1%,83%
Stone & Wood - Schooner,2,$26.00,$2.36,$6.49,1%,1%,75%
Large Pepperoni,2,$40.00,$3.64,$9.13,1%,1%,77%
On The Rocks,2,$0.00,$0.00,$0.00,1%,0%,0%
Regular Bubba Gump [Dine-in],2,$36.59,$3.33,$7.92,1%,1%,78%
Large Meatlovers,2,$62.00,$5.64,$13.91,1%,2%,78%
Negroni,2,$44.00,$4.00,$7.79,1%,2%,82%
BBQ Wings [Wings Deal],2,$0.00,$0.00,$0.00,1%,0%,0%
Garlic  Bread.,2,$0.00,$0.00,$0.00,1%,0%,0%
Large Super House Special,2,$60.00,$5.46,$15.44,1%,2%,74%
Regular New Yorker [Dine-in],2,$37.18,$3.39,$7.17,1%,1%,81%
Regular Meatlovers,2,$44.50,$4.04,$9.96,1%,2%,78%
Two Bays GF Pale Can D,2,$22.40,$2.03,$10.82,1%,1%,52%
Brownie D,2,$0.00,$0.00,$3.89,1%,0%,
Add Olives,2,$2.85,$0.27,$0.00,1%,0%,0%
Jameson Irish Whiskey,2,$19.20,$1.74,$4.53,1%,1%,76%
Tommy's Margarita,2,$47.50,$4.32,$9.95,1%,2%,79%
Regular Hail Africa [Dine-in],2,$36.59,$3.33,$5.82,1%,1%,84%
Espresso Martini,2,$36.00,$3.28,$6.47,1%,1%,82%
Rocket Man,2,$25.81,$2.36,$6.39,1%,1%,75%
Large Paddock,1,$27.00,$2.45,$5.11,0%,1%,81%
Large Hail Africa Wings Deal,1,$30.00,$2.73,$6.24,0%,1%,79%
Regular Super House Special [Dine-in],1,$18.61,$1.70,$5.53,0%,1%,70%
Large Little Italy,1,$31.00,$2.82,$8.84,0%,1%,71%
Regular Roma Special [Dine-in],1,$18.00,$1.64,$4.03,0%,1%,78%
No Anchovies,1,$0.00,$0.00,$0.00,0%,0%,0%
Bry Ol San Pell,1,$0.00,$0.00,$2.33,0%,0%,
Mother's Milk Shiraz - Regular,1,$15.00,$1.36,$3.22,0%,1%,79%
Regular The Paddock [Dine-in],1,$18.59,$1.69,$3.10,0%,1%,83%
La Petite Mort Rosso 2025 - Regular,1,$17.50,$1.59,$4.58,0%,1%,74%
Padrillos Malbec - Regular,1,$18.00,$1.64,$3.87,0%,1%,79%
Delivery Fee - Curl Curl / Manly / Dee Why,1,$6.50,$0.59,$0.00,0%,0%,0%
Gin Martini,1,$22.00,$2.00,$4.06,0%,1%,82%
Vegan Cheese [Pizza],1,$3.00,$0.27,$0.00,0%,0%,0%
+$3 Premium Spirit,1,$2.70,$0.24,$0.00,0%,0%,0%
Add Pineapple,1,$1.50,$0.14,$0.00,0%,0%,0%
Dry,1,$0.00,$0.00,$0.00,0%,0%,0%
Lemonade Glass,1,$4.65,$0.42,$0.00,0%,0%,0%
Add Anchovies,1,$2.00,$0.18,$0.00,0%,0%,0%
Delivery Fee - Freshwater / Queenscliff,1,$5.50,$0.50,$0.00,0%,0%,0%
Extra Sauce,1,$0.00,$0.00,$0.00,0%,0%,0%
Large Margherita,1,$20.00,$1.82,$2.30,0%,1%,89%
Regular Roma Special,1,$24.00,$2.18,$4.03,0%,1%,83%
Rocket Man D,1,$0.00,$0.00,$0.00,0%,0%,0%
Regular Truffalo Soldier,1,$24.00,$2.18,$3.27,0%,1%,86%
Cheesy Garlic Bread,1,$6.00,$0.55,$1.77,0%,0%,70%
Large Jimmy Jury,1,$24.30,$2.21,$6.19,0%,1%,75%
2x Aioli,1,$1.03,$0.09,$0.00,0%,0%,0%
Axl Rose Pizza,1,$18.59,$1.70,$0.00,0%,1%,0%
Large Sanchez,1,$24.30,$2.20,$5.49,0%,1%,77%
Regular Cosmopolitan,1,$19.50,$1.77,$4.73,0%,1%,76%
Heaps Normal XPA D,1,$0.00,$0.00,$2.67,0%,0%,
Large Vegetarian,1,$0.00,$0.00,$4.11,0%,0%,
Regular Hawaiian,1,$22.00,$2.00,$1.25,0%,1%,94%
Regular Pepperoni,1,$15.00,$1.36,$2.13,0%,1%,86%
Side Tomato Sauce,1,$0.00,$0.00,$0.00,0%,0%,0%
"Lemon, Lime & Bitters",1,$5.17,$0.47,$0.00,0%,0%,0%
Status Quo - Pint,1,$15.75,$1.43,$4.16,0%,1%,74%
Regular Meatlovers [Dine-in],1,$18.61,$1.70,$4.98,0%,1%,73%
Large Tandoori Chicken,1,$25.00,$2.27,$3.21,0%,1%,87%
Regular Cosmopolitan [Dine-in],1,$16.20,$1.48,$4.73,0%,1%,71%
Sweet Potato Fries D,1,$13.90,$1.26,$2.53,0%,0%,82%
Add Rocket,1,$1.50,$0.14,$0.00,0%,0%,0%
Virgin Margy,1,$13.42,$1.22,$0.00,0%,0%,0%
Online Discount,1,-$12.75,$0.00,$0.00,0%,-0%,0%
Lemon Twist,1,$0.00,$0.00,$0.00,0%,0%,0%
Regular Garlic Cheese Pizza,1,$9.00,$0.82,$1.39,0%,0%,85%
Large Meatlovers Wings Deal,1,$33.00,$3.00,$6.96,0%,1%,79%
Sweet Potato Fries,1,$13.00,$1.18,$2.53,0%,0%,81%
Little Dragon Can,1,$10.00,$0.91,$3.54,0%,0%,65%
Add Calabrese,1,$4.00,$0.36,$0.00,0%,0%,0%
Regular Bubba Gump,1,$26.00,$2.36,$3.96,0%,1%,85%
Philter XPA - Pint,1,$15.00,$1.36,$3.00,0%,1%,80%
,231.4,"$2,848.05",$259.80,$577.73,100%,100%,80%
