Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Monteith's Apple Cider Bottle,2,$21.35,$1.94,$6.22,0%,0%,71%
Philter XPA - Schooner,2,$18.50,$1.69,$4.61,0%,0%,75%
Add Ham,2,$6.00,$0.54,$0.00,0%,0%,0%
Pie,2,$67.96,$6.18,$0.00,0%,1%,0%
Eggplant Parmy,2,$59.90,$5.45,$0.00,0%,0%,0%
Buffalo Wings D,2,$33.00,$3.00,$7.80,0%,0%,76%
Lepinja Bread,2,$20.65,$1.88,$0.00,0%,0%,0%
Gluten-free Little Italy,2,$62.00,$5.64,$20.49,0%,0%,67%
Vodka Martini,2,$44.00,$4.00,$6.02,0%,0%,86%
Buffalo Trace Bourbon [House],2,$22.00,$2.00,$4.58,0%,0%,79%
"Regular No Chorizo, No Cry [Dine-in]",2,$52.85,$4.79,$5.82,0%,0%,89%
Side Chipotle Mayo,2,$2.06,$0.18,$0.00,0%,0%,0%
Lemonade Glass,2,$9.00,$0.82,$0.00,0%,0%,0%
Large Jimmy Jury,2,$54.00,$4.90,$12.37,0%,0%,77%
Add Pineapple,2,$3.00,$0.28,$0.00,0%,0%,0%
Large Uber Margherita,2,$52.00,$4.72,$8.92,0%,0%,83%
Large Sanchez,2,$27.00,$2.45,$10.98,0%,0%,59%
Add Bacon,2,$8.26,$0.74,$0.00,0%,0%,0%
A. Rodda Chardonnay - Regular,2,$56.00,$5.10,$12.33,0%,0%,78%
Kuku Sauvignon Blanc - Bottle,2,$116.00,$10.54,$29.15,0%,1%,75%
Virgin Margy,2,$26.87,$2.44,$0.00,0%,0%,0%
Biscoff Espresso,2,$46.00,$4.18,$6.31,0%,0%,86%
Pineapple Juice [mixer],2,$0.00,$0.00,$1.18,0%,0%,
Farmhouse Salad,2,$51.46,$4.67,$0.00,0%,0%,0%
Island Time,2,$49.59,$4.50,$8.66,0%,0%,83%
Coke Zero 1.25L,2,$14.00,$1.28,$8.53,0%,0%,39%
Pepsi Glass,2,$9.15,$0.84,$0.00,0%,0%,0%
Gin Martini,2,$44.72,$4.06,$8.12,0%,0%,82%
Large Sorrento,2,$57.00,$5.18,$14.34,0%,0%,75%
Peroni 0%,2,$10.80,$0.98,$3.71,0%,0%,66%
Guinness Draught - Schooner,2,$27.44,$2.50,$7.03,0%,0%,74%
Apple Juice [mixer],2,$0.00,$0.00,$1.12,0%,0%,
Rocket Man D,2,$29.00,$2.63,$0.00,0%,0%,0%
Fish Tacos D,2,$36.00,$3.28,$4.37,0%,0%,88%
Cheesy Garlic Bread,2,$16.00,$1.45,$3.55,0%,0%,78%
Petits Detours Rosé - Large,2,$50.00,$4.54,$11.78,0%,0%,76%
Trutta Streamside Shiraz [Chilled] - Regular,2,$37.18,$3.38,$7.48,0%,0%,80%
1800 Coconut,2,$26.84,$2.42,$5.40,0%,0%,80%
Old Fashioned,2,$44.00,$4.00,$9.53,0%,0%,78%
No Pepperoni,1,$0.00,$0.00,$0.00,0%,0%,0%
Kuku Sauvignon Blanc - Large,1,$23.00,$2.09,$4.86,0%,0%,79%
No Pico de Gallo,1,$0.00,$0.00,$0.00,0%,0%,0%
Extra Taco,1,$7.00,$0.64,$1.09,0%,0%,84%
Feast Deal Pizzas,1,$45.00,$4.09,$0.00,0%,0%,0%
Amalfi Olives,1,$11.87,$1.08,$0.00,0%,0%,0%
Sanchez.,1,$0.00,$0.00,$0.00,0%,0%,0%
Large Bubba Gump Wings Deal,1,$30.00,$2.73,$5.80,0%,0%,81%
Regular Jimmy Jury [Dine-in],1,$27.89,$2.53,$3.34,0%,0%,88%
Regular Jimmy Jury,1,$24.00,$2.18,$3.34,0%,0%,86%
Large Roma Special,1,$25.00,$2.27,$6.22,0%,0%,75%
Chicken,1,$1.60,$0.14,$0.00,0%,0%,0%
No Salt,1,$0.00,$0.00,$0.00,0%,0%,0%
Large New Yorker,1,$30.00,$2.73,$5.01,0%,0%,83%
Choc  Brownie,1,$0.00,$0.00,$1.95,0%,0%,
Large Hail Africa,1,$0.00,$0.00,$6.24,0%,0%,
Coke 1.25L,1,$6.00,$0.55,$3.69,0%,0%,39%
Dressing on the Side,1,$0.00,$0.00,$0.00,0%,0%,0%
Grifter Serpents Kiss Can,1,$10.33,$0.94,$3.19,0%,0%,69%
Vinada Sparkling Rose,1,$12.40,$1.13,$2.51,0%,0%,80%
Caramelised Onion Jam,1,$3.10,$0.28,$0.00,0%,0%,0%
No Olives,1,$0.00,$0.00,$0.00,0%,0%,0%
Vegan Cheese [Pizza],1,$3.00,$0.27,$0.00,0%,0%,0%
Sigurd GSM Red Blend - Regular,1,$20.65,$1.88,$4.62,0%,0%,78%
Less Cheese,1,$0.00,$0.00,$0.00,0%,0%,0%
Kids Hawaiian Pizza,1,$13.44,$1.22,$0.00,0%,0%,0%
Cauliflower Burrito,1,$29.85,$2.72,$5.14,0%,0%,83%
Villa Fresco Sangiovese - Large,1,$19.00,$1.73,$4.03,0%,0%,79%
Unico Zelo Terra Cotta - Regular,1,$0.00,$0.00,$4.38,0%,0%,
No Slaw,1,$0.00,$0.00,$0.00,0%,0%,0%
Pepsi Max Glass,1,$4.64,$0.42,$0.00,0%,0%,0%
Young Henrys Cloudy Cider Can,1,$12.00,$1.09,$2.82,0%,0%,76%
Regular Sanchez [Dine-in],1,$26.85,$2.44,$3.39,0%,0%,87%
Corona,1,$10.50,$0.95,$2.58,0%,0%,75%
Regular New Yorker [Dine-in],1,$24.78,$2.25,$3.59,0%,0%,86%
"Large No Chorizo, No Cry",1,$27.00,$2.45,$6.31,0%,0%,77%
Regular Hail Africa [Dine-in],1,$27.89,$2.53,$2.91,0%,0%,90%
Gluten-free [Corn Tortillas],1,$0.00,$0.00,$0.00,0%,0%,0%
Regular Uber Margherita,1,$21.00,$1.91,$3.19,0%,0%,85%
Apple Juice Glass,1,$5.17,$0.47,$0.66,0%,0%,87%
Year Wines 'Zagara' Orange - Regular,1,$16.52,$1.49,$3.42,0%,0%,79%
Pink Lemonade Glass,1,$4.65,$0.43,$0.14,0%,0%,97%
Seadrift Coast Non-alc G&T,1,$13.00,$1.18,$2.41,0%,0%,81%
Lemon Twist,1,$0.00,$0.00,$0.00,0%,0%,0%
Regular Hail Africa,1,$23.00,$2.09,$2.91,0%,0%,87%
Large Bubba Gump,1,$32.00,$2.91,$5.80,0%,0%,82%
Add Calabrese,1,$4.00,$0.36,$0.00,0%,0%,0%
Glaetzer Anaperenna Shiraz Cab - Regular,1,$11.00,$1.00,$7.50,0%,0%,32%
Version Two Pinot Grigio - Large,1,$19.62,$1.78,$2.94,0%,0%,85%
Fried Rice,1,$9.20,$0.84,$0.00,0%,0%,0%
Add Prawns,1,$4.13,$0.37,$0.00,0%,0%,0%
Fries D,1,$12.00,$1.09,$0.00,0%,0%,0%
Jala Marg Duo (2) - PartyJar [6 serves],1,$55.00,$5.00,$0.00,0%,0%,0%
Send Kids Food ASAP,1,$0.00,$0.00,$0.00,0%,0%,0%
Farmhouse Salad D,1,$21.00,$1.91,$0.00,0%,0%,0%
Coke Zero Can,1,$4.00,$0.36,$1.89,0%,0%,53%
Add Cherry Tomatoes,1,$1.50,$0.14,$0.00,0%,0%,0%
Four Pillars Rare Dry,1,$14.98,$1.37,$2.45,0%,0%,84%
Add Capsicum,1,$1.50,$0.14,$0.00,0%,0%,0%
Mezcal Paloma,1,$24.78,$2.25,$5.14,0%,0%,79%
Big Sur IPA D (old),1,$8.00,$0.73,$3.66,0%,0%,54%
No Rice,1,$0.00,$0.00,$0.00,0%,0%,0%
No Glasses Needed,1,$0.00,$0.00,$0.00,0%,0%,0%
Add Anchovies,1,$2.00,$0.18,$0.00,0%,0%,0%
Kids Icecream,1,$5.17,$0.47,$0.74,0%,0%,86%
Cosmo,1,$20.00,$1.82,$3.22,0%,0%,84%
Whisky Sour,1,$21.00,$1.91,$4.58,0%,0%,78%
Dry,1,$0.00,$0.00,$0.00,0%,0%,0%
2x Aioli,1,$1.03,$0.09,$0.00,0%,0%,0%
Make it Vegetarian [plant-based patty],1,$4.13,$0.37,$0.00,0%,0%,0%
Sibiliana Nero D'Avola - Bottle,1,$68.00,$6.18,$16.34,0%,1%,76%
Regular Roma Special,1,$24.00,$2.18,$4.45,0%,0%,81%
Add BBQ Sauce,1,$1.55,$0.15,$0.00,0%,0%,0%
One Ice Cube,1,$0.00,$0.00,$0.00,0%,0%,0%
Trade Winds,1,$14.47,$1.32,$0.00,0%,0%,0%
Jalapeños Inside Burrito,1,$1.00,$0.09,$0.00,0%,0%,0%
No Anchovies,1,$0.00,$0.00,$0.00,0%,0%,0%
Philter Red - Schooner,1,$11.00,$1.00,$2.53,0%,0%,77%
No Chilli,1,$0.00,$0.00,$0.00,0%,0%,0%
Gluten-free Uber Margherita,1,$26.50,$2.41,$7.29,0%,0%,72%
WINGS DEAL,1,$30.00,$2.73,$0.00,0%,0%,0%
No Pickle,1,$0.00,$0.00,$0.00,0%,0%,0%
Bundaberg Ginger Beer,1,$5.00,$0.45,$0.96,0%,0%,81%
Make it Gluten-free [gf/vg bun w sweet pot. fries],1,$2.07,$0.19,$0.00,0%,0%,0%
Rocket Man,1,$7.20,$0.66,$3.20,0%,0%,56%
Moscow Mule,1,$21.00,$1.91,$3.40,0%,0%,84%
Make it Vegan [patty + cheese + bun],1,$5.16,$0.46,$0.00,0%,0%,0%
Das Juice Pink Pet Nat - Regular,1,$16.52,$1.49,$3.30,0%,0%,80%
Garlic  Bread,1,$0.00,$0.00,$1.42,0%,0%,
Version Two Pinot Grigio - Bottle,1,$49.00,$4.45,$8.83,0%,0%,82%
2 Glasses,1,$0.00,$0.00,$0.00,0%,0%,0%
Stow's Irish Coffee,1,$15.50,$1.41,$0.92,0%,0%,94%
Swap Fries for Sweet Potato Fries,1,$2.07,$0.19,$0.00,0%,0%,0%
No Guac,1,$0.00,$0.00,$0.00,0%,0%,0%
Bang Bang Cauli D,1,$19.00,$1.73,$2.76,0%,0%,85%
Lemonade [mixer],1,$0.00,$0.00,$0.00,0%,0%,0%
Glass of Ice on the Side,1,$0.00,$0.00,$0.00,0%,0%,0%
Lemon Meringue Martini,1,$24.79,$2.25,$3.50,0%,0%,86%
Sour Cream,1,$1.00,$0.09,$0.00,0%,0%,0%
Add Kahlua,1,$4.13,$0.37,$1.44,0%,0%,65%
Add Eggplant,1,$1.50,$0.14,$0.00,0%,0%,0%
Crankshaft IPA - Schooner,1,$13.50,$1.23,$2.92,0%,0%,78%
Large Vegetarian,1,$20.00,$1.82,$4.11,0%,0%,79%
Regular Sanchez VEGAN,1,$23.75,$2.16,$3.02,0%,0%,87%
Add Rocket,1,$1.50,$0.14,$0.00,0%,0%,0%
$60 BANQUET,1,$60.00,$5.45,$0.00,0%,0%,0%
Sprite Can,1,$4.00,$0.36,$1.91,0%,0%,52%
Lepinja Bread D,1,$9.00,$0.82,$0.00,0%,0%,0%
Rooster Rojo Blanco Tequila [House],1,$10.22,$0.93,$2.43,0%,0%,76%
Beef Cheek D,1,$35.00,$3.18,$0.00,0%,0%,0%
Regular Pepperoni,1,$22.00,$2.00,$2.13,0%,0%,90%
Roasted Tomato Coulis,1,$3.10,$0.28,$0.00,0%,0%,0%
Garlic  Bread.,1,$0.00,$0.00,$0.00,0%,0%,0%
BBQ Wings [Wings Deal],1,$0.00,$0.00,$0.00,0%,0%,0%
Cucumber,1,$0.00,$0.00,$0.00,0%,0%,0%
New Yorker.,1,$0.00,$0.00,$0.00,0%,0%,0%
Add Chilli,1,$1.00,$0.09,$0.00,0%,0%,0%
No Sliced Tomato,1,$0.00,$0.00,$0.00,0%,0%,0%
Regular Garlic Cheese Pizza,1,$14.00,$1.27,$1.39,0%,0%,90%
Padrillos Malbec - Regular,1,$18.00,$1.64,$4.48,0%,0%,75%
Fellr Watermelon Seltzer Tin,1,$12.39,$1.12,$3.41,0%,0%,72%
No Beans,1,$0.00,$0.00,$0.00,0%,0%,0%
,889,"$12,640.86","$1,146.88","$2,462.57",100%,100%,81%
