Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Stone & Wood - Pint,3,$51.56,$4.70,$13.03,1%,1%,75%
Sweet Potato Fries,3,$39.43,$3.58,$7.58,1%,1%,81%
Bang Bang Cauli,3,$52.68,$4.80,$8.28,1%,1%,84%
Regular Super House Special,3,$72.00,$6.54,$15.85,1%,2%,78%
Jalapeño Marg,3,$69.76,$6.34,$2.28,1%,2%,97%
Online Surcharge,3,$4.89,$0.00,$0.00,1%,0%,0%
Large Sanchez,3,$89.00,$8.09,$16.47,1%,2%,81%
Add Anchovies,3,$6.00,$0.54,$0.00,1%,0%,0%
Buffalo Wings,3,$43.14,$3.92,$11.71,1%,1%,73%
+$3 Premium Spirit,3,$8.40,$0.75,$0.00,1%,0%,0%
Side BBQ Sauce,3,$0.00,$0.00,$0.00,1%,0%,0%
Philter XPA - Schooner,2.7,$26.93,$2.45,$6.04,1%,1%,78%
Axl Rose Pizza,2,$37.18,$3.39,$0.00,1%,1%,0%
Buffalo Wings D,2,$32.00,$2.90,$7.80,1%,1%,76%
Petits Detours Rosé - Regular,2,$32.00,$2.90,$7.07,1%,1%,78%
Regular Truffalo Soldier [Dine-in],2,$37.19,$3.39,$6.54,1%,1%,82%
Side Aioli,2,$1.02,$0.11,$0.00,1%,0%,0%
Mother's Milk Shiraz - Regular,2,$30.00,$2.72,$6.43,1%,1%,79%
Regular Cosmopolitan [Dine-in],2,$36.00,$3.28,$9.68,1%,1%,73%
Grifter Pale - Schooner,2,$18.50,$1.69,$4.96,1%,0%,73%
Add Chilli,2,$2.00,$0.18,$0.00,1%,0%,0%
Geppetto Pinot Noir - Large Glass,2,$49.57,$4.50,$11.78,1%,1%,76%
"Lemon, Lime & Bitters",2,$10.00,$0.90,$0.00,1%,0%,0%
Brownie D,2,$0.00,$0.00,$3.89,1%,0%,
Filthy,2,$0.00,$0.00,$0.00,1%,0%,0%
BBQ Wings,2,$34.35,$3.13,$6.28,1%,1%,82%
Add Garlic,2,$3.00,$0.28,$0.00,1%,0%,0%
Trentham Estate Rosé - Regular,2,$14.00,$1.28,$4.22,1%,0%,70%
Fresh Lime Soda,2,$7.00,$0.64,$0.00,1%,0%,0%
Regular Super House Special [Dine-in],2,$36.00,$3.28,$10.57,1%,1%,71%
Vodka Martini,2,$44.00,$4.00,$6.02,1%,1%,86%
Regular The Paddock [Dine-in],2,$36.00,$3.28,$6.56,1%,1%,82%
"Regular No Chorizo, No Cry [Dine-in]",2,$37.18,$3.39,$5.82,1%,1%,84%
Large Hawaiian,2,$48.00,$4.37,$6.53,1%,1%,86%
Regular Hawaiian,2,$38.00,$3.45,$2.49,1%,1%,93%
Add Jalapenos,2,$1.50,$0.14,$0.00,1%,0%,0%
Fresh is Best Summer Lager - Schooner,2,$17.28,$1.56,$3.18,1%,0%,82%
Baked Camembert,2,$50.62,$4.60,$0.00,1%,1%,0%
Side Tomato Sauce,2,$0.00,$0.00,$0.00,1%,0%,0%
No Olives,2,$0.00,$0.00,$0.00,1%,0%,0%
BBQ Wings D,2,$32.00,$2.90,$6.28,1%,1%,80%
Sibiliana Nero D'Avola - Regular,1,$18.00,$1.64,$3.27,0%,0%,82%
Large Margherita,1,$23.00,$2.09,$2.30,0%,1%,90%
"Gluten-free No Chorizo, No Cry [Dine-in]",1,$21.00,$1.91,$8.62,0%,1%,59%
.1.25L Coke,1,$0.00,$0.00,$3.69,0%,0%,
No Corn,1,$0.00,$0.00,$0.00,0%,0%,0%
Regular Vegetarian,1,$21.00,$1.91,$2.37,0%,1%,89%
Beef Burger D,1,$24.00,$2.18,$0.00,0%,1%,0%
Banquet Deal Pizzas,1,$60.00,$5.45,$0.00,0%,2%,0%
Regular New Yorker [Dine-in],1,$18.59,$1.69,$3.59,0%,0%,81%
Regular El Patron [Dine-in],1,$18.59,$1.69,$3.64,0%,0%,80%
Side Guacamole,1,$1.55,$0.15,$0.00,0%,0%,0%
Old Fashioned,1,$22.00,$2.00,$4.78,0%,1%,78%
No Aioli,1,$0.00,$0.00,$0.00,0%,0%,0%
Large BBQ Chicken Pizza,1,$0.00,$0.00,$4.34,0%,0%,
Add Prawns,1,$0.00,$0.00,$0.00,0%,0%,0%
Rocket Man D,1,$0.00,$0.00,$0.00,0%,0%,0%
Gluten-free Super House Special,1,$30.00,$2.73,$9.38,0%,1%,69%
Trutta Streamside Shiraz [Chilled] - Regular,1,$18.59,$1.69,$3.74,0%,0%,80%
Status Quo - Schooner,1,$13.50,$1.23,$3.07,0%,0%,77%
Angel's Envy Bourbon,1,$17.00,$1.55,$3.59,0%,0%,79%
Large Little Italy,1,$0.00,$0.00,$8.58,0%,0%,
Regular Roma Special,1,$0.00,$0.00,$4.45,0%,0%,
Glass of Ice on the Side,1,$0.00,$0.00,$0.00,0%,0%,0%
Regular BBQ Chicken Pizza,1,$24.50,$2.23,$3.11,0%,1%,87%
Rocket Man,1,$18.00,$1.64,$3.20,0%,0%,82%
Das Juice Pink Pet Nat - Regular,1,$16.53,$1.50,$3.30,0%,0%,80%
Geppetto Pinot Noir - Regular,1,$15.00,$1.36,$3.53,0%,0%,76%
Large Jimmy Jury,1,$27.00,$2.45,$6.19,0%,1%,77%
Regular Uber Margherita [Dine-in],1,$18.59,$1.71,$3.19,0%,0%,83%
Philter Red - Schooner,1,$11.00,$1.00,$2.53,0%,0%,77%
Coke 1.25L,1,$7.00,$0.64,$3.69,0%,0%,47%
Version Two Pinot Grigio - Bottle,1,$49.00,$4.45,$8.83,0%,1%,82%
No Cheese [dairy-free],1,$0.00,$0.00,$0.00,0%,0%,0%
Ottelia Cab Sav - Regular,1,$17.00,$1.55,$4.61,0%,0%,73%
Vegan Cheese [Pizza],1,$3.10,$0.28,$0.00,0%,0%,0%
Flower Child,1,$22.72,$2.07,$2.91,0%,1%,87%
Chicken Burrito D,1,$25.00,$2.27,$6.80,0%,1%,73%
Classic Margarita,1,$20.00,$1.82,$4.13,0%,1%,79%
Large Pepperoni,1,$0.00,$0.00,$4.56,0%,0%,
One Ice Cube,1,$0.00,$0.00,$0.00,0%,0%,0%
Sanchez.,1,$0.00,$0.00,$0.00,0%,0%,0%
Better Beer Tin,1,$10.84,$0.98,$2.50,0%,0%,77%
Extra Olives,1,$0.00,$0.00,$0.00,0%,0%,0%
Gluten-free Tandoori Chicken [Dine-in],1,$0.00,$0.00,$6.46,0%,0%,
Bombay Dry [House],1,$7.00,$0.64,$2.15,0%,0%,69%
Padrillos Malbec - Regular,1,$18.00,$1.64,$4.48,0%,0%,75%
Less Cheese,1,$0.00,$0.00,$0.00,0%,0%,0%
$60 BANQUET,1,$60.00,$5.45,$0.00,0%,2%,0%
Sensei Calamari,1,$20.14,$1.83,$2.31,0%,1%,89%
.Garlic Bread,1,$0.00,$0.00,$1.42,0%,0%,
No Chipotle Mayo,1,$0.00,$0.00,$0.00,0%,0%,0%
Regular New Yorker,1,$24.00,$2.18,$3.59,0%,1%,85%
Coke Zero Can,1,$4.00,$0.36,$1.89,0%,0%,53%
Peroni 0%,1,$9.30,$0.85,$1.85,0%,0%,80%
Large Tandoori Chicken,1,$25.00,$2.27,$3.30,0%,1%,87%
New Yorker.,1,$0.00,$0.00,$0.00,0%,0%,0%
Tandoori Chicken.,1,$0.00,$0.00,$0.00,0%,0%,0%
Two Tonne Riesling - Regular,1,$20.00,$1.82,$4.27,0%,1%,79%
Large Bubba Gump,1,$32.00,$2.91,$5.80,0%,1%,82%
Lychee Martini,1,$20.66,$1.88,$3.62,0%,1%,82%
Coke Zero 1.25L,1,$0.00,$0.00,$4.27,0%,0%,
Gluten-free Meatlovers,1,$31.00,$2.82,$9.29,0%,1%,70%
Whisky Sour,1,$21.00,$1.91,$4.58,0%,1%,78%
Regular Meatlovers,1,$25.00,$2.27,$5.19,0%,1%,79%
GF Flatbread,1,$4.13,$0.37,$0.00,0%,0%,0%
Brownie,1,$12.00,$1.09,$2.82,0%,0%,76%
Add Mushrooms,1,$1.50,$0.14,$0.00,0%,0%,0%
Add Chicken,1,$4.00,$0.36,$0.00,0%,0%,0%
Regular Margherita,1,$16.00,$1.45,$1.23,0%,0%,92%
Add Rocket,1,$1.50,$0.14,$0.00,0%,0%,0%
Kirin - Pint,1,$18.50,$1.68,$5.07,0%,0%,73%
Regular Bubba Gump [Dine-in],1,$18.00,$1.64,$4.15,0%,0%,77%
On The Rocks,1,$0.00,$0.00,$0.00,0%,0%,0%
Large Sorrento,1,$27.00,$2.45,$7.17,0%,1%,73%
Regular Vegetarian [Dine-in],1,$18.00,$1.64,$2.37,0%,0%,87%
Regular Garlic Cheese Pizza,1,$9.00,$0.82,$1.39,0%,0%,85%
Status Quo - Pint,1,$17.50,$1.59,$4.11,0%,0%,76%
No Beans,1,$0.00,$0.00,$0.00,0%,0%,0%
Regular Hawaiian [Dine-in],1,$18.00,$1.64,$1.25,0%,0%,93%
$45 FEAST,1,$45.00,$4.09,$0.00,0%,1%,0%
Add Pesto,1,$1.00,$0.09,$0.00,0%,0%,0%
Heaps Normal Tin,1,$11.00,$1.00,$2.67,0%,0%,76%
Olive,1,$0.00,$0.00,$0.00,0%,0%,0%
,307.7,"$3,840.71",$348.81,$767.61,100%,100%,80%
