Product Name,Product Quantity,$ Sales,Total Tax,Cost,% of Quantity,% of Sale Amount,Gross Profit %
Online Surcharge,30,$37.93,$0.00,$0.00,12%,1%,0%
Large Super House Special,11,$266.00,$24.20,$84.93,5%,8%,68%
Garlic Bread,9,$24.50,$2.22,$12.78,4%,1%,48%
Online Discount,9,-$88.50,$0.00,$0.00,4%,-3%,0%
Large Hawaiian,7,$152.00,$13.84,$22.84,3%,4%,85%
Large Margherita,7,$152.00,$13.82,$16.08,3%,4%,89%
Cheesy Garlic Bread,7,$52.00,$4.75,$12.41,3%,1%,76%
Regular Little Italy [Dine-in],6,$161.19,$14.63,$28.83,2%,5%,82%
Regular Pepperoni,6,$90.00,$8.16,$12.77,2%,3%,86%
Large Pepperoni,6,$116.00,$10.56,$27.39,2%,3%,76%
Add Anchovies,6,$12.00,$1.08,$0.00,2%,0%,0%
Regular Hawaiian,5,$89.00,$8.08,$6.24,2%,3%,93%
Large Bubba Gump,5,$120.00,$10.91,$27.67,2%,3%,77%
Regular Margherita,4,$62.00,$5.64,$4.92,2%,2%,92%
Large Meatlovers,4,$121.00,$11.01,$27.82,2%,3%,77%
Add Chilli,4,$4.00,$0.36,$0.00,2%,0%,0%
Regular Cosmopolitan,4,$91.00,$8.26,$18.93,2%,3%,79%
Large Sorrento,4,$111.00,$10.09,$28.69,2%,3%,74%
WINGS DEAL,4,$120.00,$10.92,$0.00,2%,3%,0%
Regular Meatlovers,3,$64.00,$5.81,$14.94,1%,2%,77%
Large Tandoori Chicken,3,$55.00,$5.00,$9.64,1%,2%,82%
Regular Sanchez [Dine-in],3,$80.57,$7.30,$10.18,1%,2%,87%
Large BBQ Chicken Pizza,3,$55.50,$5.04,$12.51,1%,2%,77%
Regular Roma Special,3,$61.00,$5.54,$12.10,1%,2%,80%
Regular Super House Special,3,$72.00,$6.54,$16.58,1%,2%,77%
Regular BBQ Chicken Pizza,3,$63.50,$5.77,$8.96,1%,2%,86%
Large New Yorker,3,$84.00,$7.63,$15.03,1%,2%,82%
Large Sanchez,3,$85.00,$7.72,$16.47,1%,2%,81%
Add Olives,2,$3.00,$0.28,$0.00,1%,0%,0%
Regular El Patron,2,$44.50,$4.04,$7.28,1%,1%,84%
Large El Patron,2,$54.00,$4.90,$11.71,1%,2%,78%
Large Vegetarian,2,$40.00,$3.64,$8.23,1%,1%,79%
Add Jalapenos,2,$2.06,$0.18,$0.00,1%,0%,0%
Large Cosmopolitan,2,$57.00,$5.18,$13.22,1%,2%,77%
Delivery Fee - Freshwater / Queenscliff,2,$10.00,$0.90,$0.00,1%,0%,0%
Regular Little Italy,2,$45.14,$4.10,$9.61,1%,1%,79%
Delivery Fee - Curl Curl / Manly / Dee Why,2,$13.00,$1.18,$0.00,1%,0%,0%
$45 FEAST,2,$90.00,$8.18,$0.00,1%,3%,0%
Coke Zero Can,2,$8.00,$0.72,$3.78,1%,0%,53%
Add Pineapple,2,$3.00,$0.28,$0.00,1%,0%,0%
Regular Sorrento,2,$40.00,$3.64,$8.21,1%,1%,79%
Coke 1.25L,2,$14.00,$1.28,$7.38,1%,0%,47%
Regular Sanchez,2,$39.00,$3.54,$6.79,1%,1%,83%
Regular Jimmy Jury [Dine-in],2,$38.69,$3.51,$6.67,1%,1%,83%
Regular Hail Africa,2,$45.00,$4.09,$5.82,1%,1%,87%
"Regular No Chorizo, No Cry",2,$39.00,$3.54,$5.01,1%,1%,87%
Regular New Yorker,2,$43.50,$3.95,$7.17,1%,1%,84%
Grifter Pale Ale 4-pack D,1,$20.00,$1.82,$12.38,0%,1%,38%
Add Basil,1,$1.03,$0.09,$0.00,0%,0%,0%
Add Onion,1,$1.50,$0.14,$0.00,0%,0%,0%
Gluten-free El Patron,1,$31.00,$2.82,$8.63,0%,1%,72%
"Regular No Chorizo, No Cry [Dine-in]",1,$26.85,$2.43,$2.50,0%,1%,91%
Regular Garlic Cheese Pizza,1,$13.50,$1.23,$1.39,0%,0%,90%
Regular Uber Margherita [Dine-in],1,$23.00,$2.09,$3.19,0%,1%,86%
Add Mushrooms,1,$1.50,$0.14,$0.00,0%,0%,0%
Add Bocconcini,1,$3.00,$0.27,$0.00,0%,0%,0%
Add Fetta,1,$3.00,$0.27,$0.00,0%,0%,0%
Large Roma Special,1,$25.00,$2.27,$5.63,0%,1%,77%
Large Garlic Cheese Pizza,1,$13.00,$1.18,$2.11,0%,0%,84%
Gluten-free Bubba Gump,1,$25.00,$2.27,$8.40,0%,1%,66%
Regular Truffalo Soldier,1,$18.50,$1.68,$3.27,0%,1%,82%
Solo 1.25L,1,$6.00,$0.55,$3.59,0%,0%,40%
Gluten-free Uber Margherita,1,$24.79,$2.25,$7.63,0%,1%,69%
Gluten-free Little Italy [Dine-in],1,$31.00,$2.82,$10.77,0%,1%,65%
Gluten-free Sanchez,1,$24.00,$2.18,$8.37,0%,1%,65%
Gluten-free Tandoori Chicken,1,$24.00,$2.18,$6.74,0%,1%,72%
Large Little Italy,1,$0.00,$0.00,$8.84,0%,0%,
Coke Zero 1.25L,1,$6.00,$0.55,$3.98,0%,0%,34%
Regular Truffalo Soldier [Dine-in],1,$26.92,$2.44,$3.27,0%,1%,88%
Chicken,1,$4.00,$0.36,$0.00,0%,0%,0%
Gluten-free Truffalo Soldier,1,$24.79,$2.25,$7.71,0%,1%,69%
Mothers Milk Shiraz D,1,$30.00,$2.73,$16.08,0%,1%,46%
Sour Cream,1,$1.00,$0.09,$0.00,0%,0%,0%
Add Ham,1,$3.00,$0.27,$0.00,0%,0%,0%
Btl Version 2 Pinot Grigio D,1,$22.50,$2.04,$8.83,0%,1%,61%
Add Prawns,1,$4.00,$0.36,$0.00,0%,0%,0%
"Large No Chorizo, No Cry",1,$27.91,$2.53,$5.60,0%,1%,80%
Regular Hail Africa [Dine-in],1,$27.89,$2.53,$2.91,0%,1%,90%
Extra Mozzarella,1,$2.50,$0.23,$0.00,0%,0%,0%
Add Cherry Tomatoes,1,$1.50,$0.14,$0.00,0%,0%,0%
Sprite 1.25L,1,$6.00,$0.55,$4.27,0%,0%,29%
Regular New Yorker [Dine-in],1,$24.78,$2.25,$3.59,0%,1%,86%
Regular Uber Margherita,1,$21.00,$1.91,$3.19,0%,1%,85%
Add Capsicum,1,$1.50,$0.14,$0.00,0%,0%,0%
Regular Tandoori Chicken,1,$19.50,$1.77,$2.30,0%,1%,88%
,241,"$3,513.04",$323.83,$704.71,100%,100%,80%
